"관광타입","음식점"
"음식점명","해오름식당"
"개요","제주시 도두동 민속오일장에 위치한 해오름 식당은 제주산 흑돼지 전문점입니다. 저희 해오름 식당은 흑돼지 농장과 육가공 공장을 운영하며 오랜 전통으로 신선함을 유지하며 메뉴 개발에 항상 힘쓰는 식당입니다. 흑돼지를 재료로 하여 특수부위 모둠 꼬치를 비롯하여 부위별로 선택하여 주문하고 드실 수 있습니다. 참숯을 사용하여 익혀지는 흑돼지의 진한 맛과 즐거움을 누려보세요. 해오름 식당의 전 직원은 언제나 고객님을 위하여 최선을 다할 것을 약속드립니다. 쉐보레서비스센터, 월랑초등학교가 인접해 있습니다."
"주소","제주 제주시 오일장서길 21"
"주소(도로명)","제주특별자치도 제주시 오일장서길 21"
"주소(지번주소)","제주특별자치도 제주시 도두일동 1181-5"
"대표번호","064-744-0367"
"영업시간","11:00 ~ 22:00"
"휴무일","매주 월요일, 공휴일"
"취급메뉴","흑돼지 특수부위 모듬꼬치, 흑돼지 모듬 한마리"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 재료가 신선해요, 매장이 넓어요, 친절해요"
